file|object|label|english|portuguese|spanish
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_reason_1|You have to change the requisites for the financial transaction 295481 located in sales|Você precisa alterar os requisitos para a transação financeira 295481 localizada em vendas|Tienes que cambiar los requisitos para la transacción financiera 295481 ubicada en ventas
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_reason_2|Please change the name of the client {0} in the Pricing tab|Por favor, altere o nome do cliente {0} na guia Preços|Por favor, cambia el nombre del cliente {0} en la pestaña de Precios
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_reason_3|{0} Director Manager requested {2} information about transaction {1}|{0} Diretor Gerente solicitou {2} informações sobre a transação {1}|{0} Director Gerente solicitó {2} información sobre la transacción {1}
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_description_1|Failed to send {0}|Falha ao enviar {0}|Falló al enviar {0}
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_description_2|Create Welcome Package {0}|Criar Pacote de Boas-Vindas {0}|Crear Paquete de Bienvenida {0}
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_description_3|CDD is not complete for {0}|CDD não está completo para {0}|CDD no está completo para {0}
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_requiredAction_1|Contact details for one or more recipients are not correct.|Os detalhes de contato para um ou mais destinatários não estão corretos.|Los detalles de contacto para uno o más destinatarios no son correctos.
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_requiredAction_2|requiredAction active  {0}|requiredAction ativo {0}|requiredAction activo {0}
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_requiredAction_3|requiredAction on hold {0}|requiredAction em espera {0}|requiredAction en espera {0}
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_dueDateAfter|Due date is after|A data de vencimento é após|La fecha de vencimiento es después
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_dueDateBefore|Due date is before|A data de vencimento é antes|La fecha de vencimiento es antes
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_myClaimedTasks|My claimed task|Minha tarefa reivindicada|Mi tarea reclamada
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_myTasks|My tasks|Minhas tarefas|Mis tareas
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_currentlyYouHaveNoTasks|Currently you have no tasks|Atualmente você não tem tarefas|Actualmente no tienes tareas
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_currentlyNoOpenCommunicationsAssigned|Currently no open communications are assigned to you|Atualmente, nenhuma comunicação aberta está atribuída a você|Actualmente no se te han asignado comunicaciones abiertas
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_currentlyNoCasesAvailable|Currently no cases available|Atualmente não há casos disponíveis|Actualmente no hay casos disponibles
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_mySalesCases|My sales cases|Meus casos de vendas|Mis casos de ventas
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_myTeamSalesCases|My team sales cases|Casos de vendas da minha equipe|Casos de ventas de mi equipo
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_myTeamTask|All team task|Todas as tarefas da equipe|Todas las tareas del equipo
/jet-composites/alerts/notifications-list/resources/nls/notifications-list-strings.ts|root.notifications-list|workplace_myTeamTasks|My team tasks|Tarefas da minha equipe|Tareas de mi equipo
